Order_ID,Customer_ID,Product_ID,Supplier_ID,Warehouse_ID,Order_Date,Ship_Date,Promised_Delivery_Date,Actual_Delivery_Date,Ship_Mode,Carrier,Order_Quantity,Shipped_Quantity,Unit_Price,Unit_Cost,Revenue,COGS,Shipping_Cost,Processing_Days,Transit_Days,Delay_Days,Delivery_Status,Fill_Rate_Pct
ORD100016,CUST00207,PRD1022,SUP001,WH09,2024-04-08,2024-04-16,2024-04-22,2024-04-22,Road,BlueDart,4,4,10.09,7.29,40.36,29.16,6.57,8,6,0,On-Time,100
ORD100017,CUST00236,PRD1017,SUP007,WH02,2023-08-16,2023-09-02,2023-08-23,2023-09-05,Air,FedEx,471,471,11.79,8.43,5553.09,3970.53,1880.97,17,3,13,Delayed,100
ORD100018,CUST00271,PRD1087,SUP021,WH08,2024-08-19,2024-08-22,2024-09-02,2024-08-25,Road,BlueDart,1,0,19.66,13.75,19.66,13.75,1.68,3,3,0,On-Time,72.4
ORD100019,CUST00354,PRD1025,SUP020,WH01,2023-05-12,2023-05-13,2023-05-19,2023-05-15,Air,DHL,2,2,853.69,490.02,1707.38,980.04,7.79,1,2,0,On-Time,100
ORD100020,CUST00288,PRD1059,SUP028,WH02,2024-02-09,2024-02-13,2024-02-16,2024-02-15,Air,FedEx,7,7,149.81,85.86,1048.67,601.02,21.47,4,2,0,On-Time,100
ORD100021,CUST00119,PRD1022,SUP018,WH12,2023-10-14,2023-10-18,2023-10-28,2023-10-28,Rail,DB Cargo,1,1,10.09,7.29,10.09,7.29,1.33,4,10,0,On-Time,100
ORD100022,CUST00656,PRD1078,SUP031,WH17,2024-02-26,2024-03-01,2024-03-11,2024-03-10,Road,BlueDart,1,1,7.43,4.63,7.43,4.63,1.77,4,9,0,On-Time,100
ORD100023,CUST00680,PRD1017,SUP007,WH01,2024-06-22,2024-06-25,2024-06-29,2024-06-28,Air,UPS Air,460,460,11.79,8.43,5423.4,3877.8,1407.31,3,3,0,On-Time,100
ORD100024,CUST00226,PRD1002,SUP008,WH09,2024-01-03,2024-01-07,2024-01-10,2024-01-09,Air,UPS Air,72,72,228.68,127.46,16464.96,9177.12,289.36,4,2,0,On-Time,100
ORD100025,CUST00358,PRD1072,SUP019,WH04,2023-07-04,2023-07-13,2023-07-18,2023-07-18,Road,XPO Logistics,10,10,17.2,12.09,172,120.9,13.43,9,5,0,On-Time,100
ORD100026,CUST00629,PRD1035,SUP023,WH10,2024-08-21,2024-08-24,2024-08-23,2024-08-25,Same-day,Local Courier,2,2,57.68,38.57,115.36,77.14,11.08,3,1,2,Slightly Delayed,100
ORD100027,CUST00727,PRD1030,SUP009,WH20,2023-02-27,2023-03-01,2023-03-13,2023-03-12,Road,Schenker,7,7,50.86,32.98,356.02,230.86,12.22,2,11,0,On-Time,100
ORD100028,CUST00551,PRD1022,SUP001,WH20,2024-12-15,2024-12-19,2024-12-29,2024-12-26,Road,Schenker,1,1,10.09,7.29,10.09,7.29,1.7,4,7,0,On-Time,100
ORD100029,CUST00123,PRD1045,SUP022,WH04,2024-07-30,2024-08-01,2024-08-13,2024-08-11,Road,XPO Logistics,9,9,159.12,109.07,1432.08,981.63,12.07,2,10,0,On-Time,100
ORD100030,CUST00361,PRD1062,SUP016,WH12,2024-09-08,2024-09-10,2024-09-15,2024-09-13,Air,FedEx,77,77,93.55,64.13,7203.35,4938.01,317.7,2,3,0,On-Time,100
ORD100031,CUST00398,PRD1042,SUP005,WH16,2023-05-14,2023-05-31,2023-06-18,2023-06-18,Sea,CMA CGM,32,22,28.61,19.39,915.52,620.48,22.17,17,18,0,On-Time,69.1
ORD100032,CUST00477,PRD1041,SUP015,WH13,2024-12-22,2024-12-27,2024-12-29,2024-12-28,Air,FedEx,9,7,54.32,34.46,488.88,310.14,34.7,5,1,0,On-Time,82
ORD100033,CUST00105,PRD1009,SUP026,WH01,2024-08-23,2024-08-24,2024-09-06,2024-08-29,Road,XPO Logistics,48,48,2110.5,1530.9,101304,73483.2,69.98,1,5,0,On-Time,100
ORD100034,CUST00158,PRD1020,SUP024,WH01,2024-10-16,2024-10-23,2024-10-30,2024-10-31,Rail,Indian Railways Freight,3,3,20.59,14.08,61.77,42.24,3.72,7,8,1,Slightly Delayed,100
ORD100035,CUST00178,PRD1071,SUP023,WH05,2023-08-17,2023-08-24,2023-08-31,2023-08-31,Rail,Indian Railways Freight,5,5,86.73,52.61,433.65,263.05,6.15,7,7,0,On-Time,100
ORD100036,CUST00798,PRD1037,SUP029,WH12,2024-12-19,2024-12-23,2025-01-02,2024-12-29,Road,Schenker,14,14,43.06,24.09,602.84,337.26,21.71,4,6,0,On-Time,100
ORD100037,CUST00503,PRD1040,SUP015,WH01,2024-10-16,2024-10-17,2024-10-30,2024-10-23,Road,XPO Logistics,3,3,35.11,25.69,105.33,77.07,4.01,1,6,0,On-Time,100
ORD100038,CUST00730,PRD1009,SUP011,WH15,2024-10-13,2024-10-14,2024-10-27,2024-10-17,Road,Schenker,6,6,2110.5,1530.9,12663,9185.4,10.1,1,3,0,On-Time,100
ORD100039,CUST00233,PRD1033,SUP028,WH08,2023-12-25,2023-12-28,2024-01-08,2024-01-06,Road,BlueDart,1,1,47.15,32.52,47.15,32.52,1.67,3,9,0,On-Time,100
ORD100040,CUST00584,PRD1056,SUP027,WH11,2024-05-19,2024-05-23,2024-06-02,2024-05-30,Road,XPO Logistics,5,5,134.68,88.37,673.4,441.85,7.96,4,7,0,On-Time,100
ORD100041,CUST00071,PRD1061,SUP018,WH14,2024-12-04,2024-12-09,2024-12-18,2024-12-17,Road,BlueDart,281,281,127.91,79.95,35942.71,22465.95,405.18,5,8,0,On-Time,100
ORD100042,CUST00045,PRD1004,SUP028,WH19,2023-04-18,2023-04-19,2023-05-02,2023-04-28,Road,XPO Logistics,137,103,1379.25,803.31,188957.25,110053.47,193.57,1,9,0,On-Time,75.7
ORD100043,CUST00469,PRD1020,SUP024,WH01,2023-04-06,2023-04-10,2023-04-20,2023-04-17,Road,Schenker,5,3,20.59,14.08,102.95,70.4,6.69,4,7,0,On-Time,79.1
ORD100044,CUST00591,PRD1090,SUP011,WH13,2024-09-13,2024-09-20,2024-09-27,2024-09-28,Road,BlueDart,1,1,45.29,25.62,45.29,25.62,1.64,7,8,1,Slightly Delayed,100
ORD100045,CUST00299,PRD1026,SUP016,WH19,2024-07-21,2024-07-27,2024-07-28,2024-07-29,Air,UPS Air,5,5,25.29,17.64,126.45,88.2,20,6,2,1,Slightly Delayed,100
ORD100046,CUST00389,PRD1012,SUP019,WH20,2024-05-17,2024-05-21,2024-05-31,2024-05-30,Rail,DB Cargo,56,56,173.41,110.98,9710.96,6214.88,74.73,4,9,0,On-Time,100
ORD100047,CUST00065,PRD1011,SUP022,WH18,2024-09-06,2024-09-10,2024-09-20,2024-09-16,Rail,DB Cargo,2,2,161.02,98.37,322.04,196.74,2.08,4,6,0,On-Time,100
ORD100048,CUST00290,PRD1021,SUP031,WH03,2023-04-29,2023-05-04,2023-05-13,2023-05-11,Road,XPO Logistics,8,8,15.38,9.1,123.04,72.8,10.72,5,7,0,On-Time,100
ORD100049,CUST00566,PRD1084,SUP016,WH09,2024-02-01,2024-02-03,2024-02-15,2024-02-09,Road,XPO Logistics,58,58,13.55,8.62,785.9,499.96,97,2,6,0,On-Time,100
ORD100050,CUST00389,PRD1057,SUP007,WH20,2023-09-27,2023-10-14,2023-10-11,2023-10-22,Rail,Indian Railways Freight,82,82,149.05,105.57,12222.1,8656.74,89.55,17,8,11,Delayed,100
ORD100051,CUST00131,PRD1089,SUP017,WH20,2023-12-19,2023-12-24,2024-01-02,2024-01-02,Road,Schenker,166,166,57.43,37.87,9533.38,6286.42,279.44,5,9,0,On-Time,100
ORD100052,CUST00268,PRD1049,SUP031,WH13,2024-07-02,2024-07-06,2024-07-09,2024-07-08,Air,UPS Air,4,4,67.1,42.17,268.4,168.68,16.3,4,2,0,On-Time,100
ORD100053,CUST00713,PRD1010,SUP003,WH19,2024-05-29,2024-05-31,2024-06-12,2024-06-07,Road,BlueDart,437,437,2260.93,1510.98,988026.41,660298.26,612.9,2,7,0,On-Time,100
ORD100054,CUST00918,PRD1021,SUP011,WH19,2023-05-10,2023-05-11,2023-06-14,2023-05-29,Sea,MSC,1,0,15.38,9.1,15.38,9.1,0.65,1,18,0,On-Time,76.9
ORD100055,CUST00185,PRD1055,SUP007,WH02,2023-06-01,2023-06-21,2023-06-08,2023-06-22,Air,DHL,2,2,77.18,54.03,154.36,108.06,7.33,20,1,14,Delayed,100
ORD100056,CUST00023,PRD1071,SUP025,WH14,2023-10-10,2023-10-18,2023-10-24,2023-10-25,Road,BlueDart,10,10,86.73,52.61,867.3,526.1,16.91,8,7,1,Slightly Delayed,100
ORD100057,CUST00676,PRD1053,SUP027,WH07,2024-08-03,2024-08-17,2024-08-17,2024-08-21,Road,BlueDart,5,5,75.33,55.49,376.65,277.45,6.06,14,4,4,Delayed,100
ORD100058,CUST00339,PRD1036,SUP027,WH03,2023-09-28,2023-10-02,2023-11-02,2023-10-29,Sea,CMA CGM,8,8,46.61,27.97,372.88,223.76,7.19,4,27,0,On-Time,100
ORD100059,CUST00253,PRD1060,SUP028,WH18,2023-05-28,2023-06-12,2023-06-11,2023-06-19,Road,BlueDart,7,5,81.02,49.19,567.14,344.33,10.77,15,7,8,Delayed,79
ORD100060,CUST00578,PRD1042,SUP005,WH05,2024-05-01,2024-05-08,2024-05-03,2024-05-09,Same-day,Dunzo Express,60,60,28.61,19.39,1716.6,1163.4,312.66,7,1,6,Delayed,100
ORD100061,CUST00683,PRD1038,SUP015,WH09,2024-12-13,2024-12-17,2024-12-27,2024-12-26,Rail,DB Cargo,3,3,78.67,53.76,236.01,161.28,3.93,4,9,0,On-Time,100
ORD100062,CUST00325,PRD1056,SUP022,WH03,2024-03-02,2024-03-04,2024-03-16,2024-03-14,Road,BlueDart,4,4,134.68,88.37,538.72,353.48,6.95,2,10,0,On-Time,100
ORD100063,CUST00094,PRD1052,SUP028,WH07,2024-01-18,2024-01-19,2024-02-01,2024-01-30,Rail,DB Cargo,83,83,102.88,63.67,8539.04,5284.61,83.07,1,11,0,On-Time,100
ORD100064,CUST00748,PRD1064,SUP007,WH17,2024-06-20,2024-06-21,2024-06-22,2024-06-22,Same-day,Local Courier,4,3,91.59,56.02,366.36,224.08,19.55,1,1,0,On-Time,80.2
ORD100065,CUST00629,PRD1025,SUP020,WH20,2024-04-12,2024-04-16,2024-05-17,2024-05-08,Sea,MSC,4,4,853.69,490.02,3414.76,1960.08,3.35,4,22,0,On-Time,100
ORD100066,CUST00097,PRD1059,SUP029,WH05,2023-05-07,2023-05-10,2023-05-14,2023-05-12,Air,FedEx,3,3,149.81,85.86,449.43,257.58,12.5,3,2,0,On-Time,100
ORD100067,CUST00241,PRD1057,SUP023,WH01,2023-12-19,2023-12-21,2024-01-02,2023-12-28,Rail,Indian Railways Freight,2,2,149.05,105.57,298.1,211.14,2.86,2,7,0,On-Time,100
ORD100068,CUST00612,PRD1049,SUP014,WH10,2023-08-15,2023-08-24,2023-08-17,2023-08-25,Same-day,Local Courier,187,187,67.1,42.17,12547.7,7885.79,1059.62,9,1,8,Delayed,100
ORD100069,CUST00510,PRD1065,SUP001,WH12,2024-11-29,2024-12-04,2024-12-13,2024-12-07,Road,XPO Logistics,26,26,272.84,181.03,7093.84,4706.78,43.93,5,3,0,On-Time,100
ORD100070,CUST00612,PRD1076,SUP004,WH12,2024-09-14,2024-09-17,2024-09-28,2024-09-22,Road,Schenker,413,413,21.18,12.56,8747.34,5187.28,540.33,3,5,0,On-Time,100
ORD100071,CUST00760,PRD1054,SUP030,WH13,2023-09-16,2023-09-18,2023-09-23,2023-09-20,Air,DHL,48,48,69.75,48.04,3348,2305.92,172.43,2,2,0,On-Time,100
ORD100072,CUST00701,PRD1079,SUP011,WH14,2024-06-07,2024-06-11,2024-06-21,2024-06-16,Road,Schenker,381,381,3.59,2.37,1367.79,902.97,564.62,4,5,0,On-Time,100
ORD100073,CUST00123,PRD1036,SUP024,WH03,2023-03-07,2023-03-10,2023-03-14,2023-03-12,Air,DHL,6,5,46.61,27.97,279.66,167.82,21.87,3,2,0,On-Time,90.5
ORD100074,CUST00084,PRD1033,SUP020,WH14,2023-07-12,2023-07-14,2023-07-26,2023-07-20,Road,Schenker,4,3,47.15,32.52,188.6,130.08,5.86,2,6,0,On-Time,84.5
ORD100075,CUST00292,PRD1076,SUP004,WH03,2023-05-24,2023-05-25,2023-05-31,2023-05-28,Air,UPS Air,73,65,21.18,12.56,1546.14,916.88,240.49,1,3,0,On-Time,90.4
ORD100076,CUST00597,PRD1033,SUP028,WH04,2023-02-06,2023-02-10,2023-02-13,2023-02-14,Air,DHL,4,4,47.15,32.52,188.6,130.08,12,4,4,1,Slightly Delayed,100
ORD100077,CUST00159,PRD1081,SUP023,WH09,2024-06-03,2024-06-06,2024-06-10,2024-06-09,Air,FedEx,94,58,22.49,14.73,2114.06,1384.62,271.36,3,3,0,On-Time,62.7
ORD100078,CUST00110,PRD1023,SUP032,WH02,2023-09-22,2023-09-24,2023-10-06,2023-10-01,Road,Schenker,3,3,550.43,386.93,1651.29,1160.79,4.57,2,7,0,On-Time,100
ORD100079,CUST00291,PRD1028,SUP032,WH16,2023-11-11,2023-11-21,2023-11-18,2023-11-23,Air,DHL,57,57,93.38,53.26,5322.66,3035.82,164.32,10,2,5,Delayed,100
ORD100080,CUST00380,PRD1037,SUP029,WH13,2023-02-24,2023-02-26,2023-03-10,2023-03-02,Road,XPO Logistics,149,149,43.06,24.09,6415.94,3589.41,180.95,2,4,0,On-Time,100
ORD100081,CUST00235,PRD1087,SUP021,WH14,2023-02-25,2023-02-27,2023-03-11,2023-03-10,Rail,DB Cargo,2,2,19.66,13.75,39.32,27.5,2.03,2,11,0,On-Time,100
ORD100082,CUST00156,PRD1072,SUP010,WH15,2023-11-20,2023-11-23,2023-12-04,2023-12-07,Rail,DB Cargo,72,72,17.2,12.09,1238.4,870.48,97.9,3,14,3,Slightly Delayed,100
ORD100083,CUST00432,PRD1022,SUP001,WH17,2024-04-07,2024-04-12,2024-04-21,2024-04-22,Rail,DB Cargo,3,3,10.09,7.29,30.27,21.87,3.99,5,10,1,Slightly Delayed,100
ORD100084,CUST00547,PRD1020,SUP024,WH02,2023-04-01,2023-04-06,2023-04-15,2023-04-21,Rail,Indian Railways Freight,91,91,20.59,14.08,1873.69,1281.28,128.36,5,15,6,Delayed,100
ORD100085,CUST00207,PRD1054,SUP004,WH11,2023-02-08,2023-02-10,2023-02-22,2023-02-15,Road,Schenker,3,2,69.75,48.04,209.25,144.12,4.17,2,5,0,On-Time,75.8
ORD100086,CUST00577,PRD1041,SUP015,WH04,2023-01-19,2023-01-20,2023-01-26,2023-01-22,Air,UPS Air,4,4,54.32,34.46,217.28,137.84,13.23,1,2,0,On-Time,100
ORD100087,CUST00387,PRD1044,SUP003,WH18,2024-05-30,2024-06-08,2024-06-13,2024-06-17,Rail,DB Cargo,2,2,85.45,54.42,170.9,108.84,2.64,9,9,4,Delayed,100
ORD100088,CUST00934,PRD1038,SUP015,WH07,2024-06-16,2024-06-21,2024-06-23,2024-06-24,Air,DHL,3,3,78.67,53.76,236.01,161.28,9.91,5,3,1,Slightly Delayed,100
ORD100089,CUST00058,PRD1062,SUP016,WH10,2024-02-18,2024-02-19,2024-03-03,2024-03-02,Rail,DB Cargo,38,38,93.55,64.13,3554.9,2436.94,51.21,1,12,0,On-Time,100
ORD100090,CUST00836,PRD1016,SUP012,WH08,2024-05-31,2024-06-02,2024-06-14,2024-06-10,Road,BlueDart,6,6,26.05,16.89,156.3,101.34,7.2,2,8,0,On-Time,100
ORD100091,CUST00518,PRD1004,SUP028,WH12,2024-07-01,2024-07-05,2024-07-03,2024-07-06,Same-day,Local Courier,2,2,1379.25,803.31,2758.5,1606.62,8.33,4,1,3,Slightly Delayed,100
ORD100092,CUST00388,PRD1002,SUP008,WH19,2024-03-30,2024-04-03,2024-04-13,2024-04-09,Road,BlueDart,5,5,228.68,127.46,1143.4,637.3,6.16,4,6,0,On-Time,100
ORD100093,CUST01006,PRD1089,SUP017,WH04,2024-10-07,2024-10-08,2024-10-21,2024-10-16,Road,XPO Logistics,7,7,57.43,37.87,402.01,265.09,11.81,1,8,0,On-Time,100
ORD100094,CUST00502,PRD1084,SUP016,WH17,2024-12-18,2024-12-20,2025-01-01,2024-12-29,Road,XPO Logistics,23,23,13.55,8.62,311.65,198.26,28.46,2,9,0,On-Time,100
ORD100095,CUST00196,PRD1079,SUP011,WH05,2023-04-19,2023-04-29,2023-04-26,2023-05-01,Air,FedEx,10,10,3.59,2.37,35.9,23.7,37.66,10,2,5,Delayed,100
ORD100096,CUST00698,PRD1033,SUP023,WH16,2024-12-21,2024-12-29,2025-01-25,2025-01-29,Sea,MSC,30,30,47.15,32.52,1414.5,975.6,24.94,8,31,4,Delayed,100
ORD100097,CUST00554,PRD1063,SUP029,WH20,2024-05-07,2024-05-11,2024-06-11,2024-06-04,Sea,Maersk,1,1,41.6,23.72,41.6,23.72,0.79,4,24,0,On-Time,100
ORD100098,CUST00688,PRD1011,SUP022,WH17,2024-11-16,2024-11-20,2024-11-23,2024-11-22,Air,FedEx,1,1,161.02,98.37,161.02,98.37,3.54,4,2,0,On-Time,100
ORD100099,CUST00359,PRD1009,SUP008,WH07,2023-09-20,2023-09-23,2023-09-27,2023-09-24,Air,DHL,5,5,2110.5,1530.9,10552.5,7654.5,16.87,3,1,0,On-Time,100
ORD100100,CUST01005,PRD1006,SUP025,WH12,2023-02-10,2023-02-13,2023-02-24,2023-02-24,Rail,Indian Railways Freight,6,6,1746.8,1262.76,10480.8,7576.56,8.63,3,11,0,On-Time,100
ORD100101,CUST00598,PRD1014,SUP001,WH15,2023-02-16,2023-02-17,2023-02-18,2023-02-18,Same-day,Local Courier,3,3,161.64,100.86,484.92,302.58,13.01,1,1,0,On-Time,100
ORD100102,CUST00528,PRD1056,SUP022,WH12,2023-04-06,2023-04-09,2023-05-11,2023-05-02,Sea,MSC,33,33,134.68,88.37,4444.44,2916.21,21.98,3,23,0,On-Time,100
ORD100103,CUST00825,PRD1051,SUP007,WH14,2024-01-30,2024-02-10,2024-02-13,2024-02-15,Road,XPO Logistics,3,3,127.43,88.87,382.29,266.61,3.61,11,5,2,Slightly Delayed,100
ORD100104,CUST00584,PRD1089,SUP011,WH12,2023-04-17,2023-04-21,2023-05-01,2023-04-26,Road,Schenker,4,4,57.43,37.87,229.72,151.48,4.96,4,5,0,On-Time,100
ORD100105,CUST00688,PRD1086,SUP027,WH08,2024-01-03,2024-01-10,2024-01-10,2024-01-14,Air,UPS Air,2,2,12.75,9.37,25.5,18.74,6.55,7,4,4,Delayed,100
ORD100106,CUST00316,PRD1062,SUP016,WH06,2023-02-17,2023-02-22,2023-03-03,2023-03-01,Road,XPO Logistics,6,6,93.55,64.13,561.3,384.78,10.31,5,7,0,On-Time,100
ORD100107,CUST00805,PRD1086,SUP027,WH15,2024-08-01,2024-08-13,2024-08-03,2024-08-14,Same-day,Dunzo Express,76,76,12.75,9.37,969,712.12,347.92,12,1,11,Delayed,100
ORD100108,CUST00148,PRD1089,SUP017,WH04,2023-09-12,2023-09-17,2023-09-19,2023-09-18,Air,DHL,94,94,57.43,37.87,5398.42,3559.78,360.51,5,1,0,On-Time,100
ORD100109,CUST00163,PRD1049,SUP031,WH11,2024-09-19,2024-09-20,2024-10-03,2024-09-26,Road,BlueDart,92,68,67.1,42.17,6173.2,3879.64,120.29,1,6,0,On-Time,74.9
ORD100110,CUST00320,PRD1064,SUP011,WH11,2023-03-18,2023-03-30,2023-04-22,2023-04-21,Sea,MSC,4,4,91.59,56.02,366.36,224.08,3.28,12,22,0,On-Time,100
ORD100111,CUST00486,PRD1035,SUP020,WH17,2024-10-20,2024-10-24,2024-11-03,2024-10-29,Road,XPO Logistics,4,4,57.68,38.57,230.72,154.28,6.34,4,5,0,On-Time,100
ORD100112,CUST00284,PRD1056,SUP022,WH11,2024-05-25,2024-05-29,2024-06-01,2024-06-02,Air,DHL,25,17,134.68,88.37,3367,2209.25,75.15,4,4,1,Slightly Delayed,71.3
ORD100113,CUST00424,PRD1083,SUP016,WH06,2023-02-06,2023-02-10,2023-02-20,2023-02-13,Road,BlueDart,10,9,20.41,12.95,204.1,129.5,12.49,4,3,0,On-Time,93.3
ORD100114,CUST00223,PRD1081,SUP012,WH11,2023-07-31,2023-08-12,2023-08-07,2023-08-13,Air,DHL,6,6,22.49,14.73,134.94,88.38,21.82,12,1,6,Delayed,100
ORD100115,CUST00629,PRD1028,SUP032,WH04,2024-09-26,2024-10-17,2024-10-31,2024-11-02,Sea,CMA CGM,6,6,93.38,53.26,560.28,319.56,4.89,21,16,2,Slightly Delayed,100
ORD100116,CUST00698,PRD1014,SUP001,WH12,2023-01-03,2023-01-06,2023-01-17,2023-01-20,Rail,Indian Railways Freight,91,80,161.64,100.86,14709.24,9178.26,95.5,3,14,3,Slightly Delayed,88.5
ORD100117,CUST00115,PRD1037,SUP029,WH07,2023-04-19,2023-04-29,2023-05-03,2023-05-07,Road,BlueDart,73,73,43.06,24.09,3143.38,1758.57,110.6,10,8,4,Delayed,100
ORD100118,CUST00431,PRD1091,SUP021,WH13,2023-09-18,2023-10-01,2023-10-02,2023-10-04,Road,BlueDart,2,1,75.2,42.13,150.4,84.26,3.2,13,3,2,Slightly Delayed,91.9
ORD100119,CUST00150,PRD1050,SUP027,WH01,2023-07-15,2023-07-28,2023-07-29,2023-08-03,Rail,DB Cargo,63,63,117.58,68.13,7407.54,4292.19,63.75,13,6,5,Delayed,100
ORD100120,CUST00672,PRD1081,SUP012,WH02,2024-04-06,2024-04-10,2024-04-13,2024-04-14,Air,UPS Air,5,4,22.49,14.73,112.45,73.65,19.24,4,4,1,Slightly Delayed,91.8
ORD100121,CUST00460,PRD1017,SUP007,WH04,2023-02-19,2023-02-23,2023-03-26,2023-03-22,Sea,CMA CGM,71,45,11.79,8.43,837.09,598.53,58.68,4,27,0,On-Time,64.7
ORD100122,CUST00605,PRD1022,SUP001,WH16,2023-05-12,2023-05-14,2023-05-26,2023-05-22,Road,XPO Logistics,94,94,10.09,7.29,948.46,685.26,142.09,2,8,0,On-Time,100
ORD100123,CUST00615,PRD1041,SUP015,WH13,2024-09-15,2024-09-17,2024-09-29,2024-09-28,Rail,Indian Railways Freight,253,200,54.32,34.46,13742.96,8718.38,354.93,2,11,0,On-Time,79.1
ORD100124,CUST00741,PRD1037,SUP029,WH17,2024-02-27,2024-03-02,2024-03-12,2024-03-08,Road,Schenker,80,63,43.06,24.09,3444.8,1927.2,142.68,4,6,0,On-Time,79.7
ORD100125,CUST00104,PRD1091,SUP021,WH03,2023-08-11,2023-08-13,2023-08-18,2023-08-16,Air,FedEx,89,89,75.2,42.13,6692.8,3749.57,307.3,2,3,0,On-Time,100
ORD100126,CUST00636,PRD1087,SUP021,WH03,2024-12-28,2024-12-30,2025-01-11,2025-01-02,Road,Schenker,5,5,19.66,13.75,98.3,68.75,7.35,2,3,0,On-Time,100
ORD100127,CUST00499,PRD1041,SUP015,WH15,2024-07-29,2024-08-06,2024-07-31,2024-08-07,Same-day,Dunzo Express,96,96,54.32,34.46,5214.72,3308.16,438.76,8,1,7,Delayed,100
ORD100128,CUST00796,PRD1068,SUP031,WH19,2023-01-14,2023-01-15,2023-01-28,2023-01-16,Road,BlueDart,7,7,326.94,235.57,2288.58,1648.99,12.28,1,1,0,On-Time,100
ORD100129,CUST00495,PRD1085,SUP003,WH19,2023-06-14,2023-06-18,2023-06-28,2023-06-26,Road,Schenker,42,42,9.31,5.56,391.02,233.52,64.49,4,8,0,On-Time,100
ORD100130,CUST00316,PRD1007,SUP030,WH01,2024-07-08,2024-07-12,2024-07-15,2024-07-15,Air,DHL,8,8,1423.29,1015.08,11386.32,8120.64,24.2,4,3,0,On-Time,100
